participant_id,group,training_hours,baseline_score,followup_score
C01,comparison,1.5,58,61
C02,comparison,2.0,63,66
C03,comparison,1.0,71,72
C04,comparison,2.5,55,59
C05,comparison,3.0,67,71
C06,comparison,1.5,74,75
C07,comparison,2.0,61,64
C08,comparison,2.5,69,72
C09,comparison,1.0,52,54
C10,comparison,3.5,64,69
C11,comparison,2.0,77,79
C12,comparison,1.5,59,62
C13,comparison,3.0,66,70
C14,comparison,2.5,72,75
C15,comparison,1.0,57,58
C16,comparison,3.5,68,73
C17,comparison,2.0,62,65
C18,comparison,2.5,75,78
C19,comparison,1.5,54,56
C20,comparison,3.0,70,74
I01,intervention,4.0,57,66
I02,intervention,5.5,62,74
I03,intervention,3.5,70,78
I04,intervention,6.0,54,68
I05,intervention,4.5,65,75
I06,intervention,5.0,73,84
I07,intervention,3.0,60,67
I08,intervention,6.5,68,83
I09,intervention,4.0,51,60
I10,intervention,5.5,63,76
I11,intervention,3.5,76,84
I12,intervention,6.0,58,72
I13,intervention,4.5,64,75
I14,intervention,5.0,71,83
I15,intervention,3.0,56,63
I16,intervention,6.5,67,82
I17,intervention,4.0,61,70
I18,intervention,5.5,74,87
I19,intervention,3.5,53,61
I20,intervention,6.0,69,83

